ticket_id,text,true_tag,label
508,I've been a loyal customer for years and this experience has been disappointing.,Complaint,3
287,The search bar on the API service returns no results even for valid queries.,Bug Report,2
246,Dates are displaying incorrectly on the API service.,Bug Report,2
94,The checkout page keeps freezing whenever I try to save my work.,Technical Issue,9
559,How do I switch from the monthly to the annual API service plan?,Subscription Management,8
579,How do I downgrade my notification settings subscription?,Subscription Management,8
488,I'm really unhappy with the quality of support I've received so far.,Complaint,3
122,I can't log into my account even after resetting my password.,Account Access,0
530,I'm really unhappy with the quality of support I've received so far.,Complaint,3
247,I found a bug where deleting an item duplicates it instead.,Bug Report,2
162,"It says my account is locked, but I don't know why.",Account Access,0
5,My credit card was billed twice for the same notification settings order this month.,Billing & Payments,1
84,Nothing loads on the notification settings since the latest update.,Technical Issue,9
512,This is the third time I'm contacting you about the same API service issue.,Complaint,3
18,Can you clarify why my invoice this month is higher than usual?,Billing & Payments,1
315,"I received the wrong item in my order, I ordered a different desktop software.",Shipping & Delivery,7
77,I'm getting a 500 error every time I open the desktop software.,Technical Issue,9
155,Two-factor authentication isn't sending me a code to sign in.,Account Access,0
567,Can I pause my subscription for a couple of months?,Subscription Management,8
265,The search bar on the desktop software returns no results even for valid queries.,Bug Report,2
7,"I was charged $107 but my plan should only cost $17, please explain.",Billing & Payments,1
354,The package I received was damaged during shipping.,Shipping & Delivery,7
296,The search bar on the subscription plan returns no results even for valid queries.,Bug Report,2
303,My order was supposed to arrive 10 days ago and there's no tracking update.,Shipping & Delivery,7
310,Delivery status hasn't changed from 'processing' for 10 days.,Shipping & Delivery,7
8,There's an unrecognized charge of $196 on my statement from your company.,Billing & Payments,1
338,"I received the wrong item in my order, I ordered a different notification settings.",Shipping & Delivery,7
228,It would be great if the checkout page supported exporting to Excel.,Feature Request,4
197,Can you add a bulk-edit option to the web dashboard?,Feature Request,4
466,Where can I find documentation for the notification settings?,General Inquiry,5
